permit_id,vehicle_id,dispatched_quantity,dispatch_time,allowed_quantity,quantity_difference,over_dispatch,permit_status,anomaly_flag,anomaly_status,route_status,final_risk
P1000,V000,781,2026-01-27 15:27,899,-118,False,Normal,1,Normal,Normal,Normal
P1001,V001,1830,2026-01-27 20:27,1875,-45,False,Normal,1,Normal,Normal,Normal
P1002,V002,1061,2026-01-27 22:27,1132,-71,False,Normal,1,Normal,Normal,Normal
P1003,V003,1477,2026-01-28 02:27,1275,202,True,Violation,1,Normal,Normal,High Risk
P1004,V004,1280,2026-01-27 22:27,1377,-97,False,Normal,1,Normal,Deviated,High Risk
P1005,V005,1254,2026-01-27 13:27,1061,193,True,Violation,1,Normal,Normal,High Risk
P1006,V006,855,2026-01-28 03:27,1037,-182,False,Normal,1,Normal,Normal,Normal
P1007,V007,1410,2026-01-27 11:27,1536,-126,False,Normal,1,Normal,Normal,Normal
P1008,V008,671,2026-01-27 08:27,867,-196,False,Normal,-1,Anomaly,Normal,High Risk
P1009,V009,1176,2026-01-27 16:27,1261,-85,False,Normal,1,Normal,Deviated,High Risk
P1010,V010,2038,2026-01-27 16:27,1592,446,True,Violation,-1,Anomaly,Normal,High Risk
P1011,V011,1492,2026-01-28 02:27,1500,-8,False,Normal,1,Normal,Deviated,High Risk
P1012,V012,1816,2026-01-28 00:27,1393,423,True,Violation,-1,Anomaly,Normal,High Risk
P1013,V013,1870,2026-01-27 07:27,1976,-106,False,Normal,1,Normal,Normal,Normal
P1014,V014,917,2026-01-27 08:27,917,0,False,Normal,1,Normal,Normal,Normal
P1015,V015,1461,2026-01-28 00:27,1628,-167,False,Normal,1,Normal,Normal,Normal
P1016,V016,754,2026-01-27 07:27,778,-24,False,Normal,-1,Anomaly,Normal,High Risk
P1017,V017,1769,2026-01-28 03:27,1824,-55,False,Normal,1,Normal,Normal,Normal
P1018,V018,612,2026-01-28 06:27,737,-125,False,Normal,-1,Anomaly,Normal,High Risk
P1019,V019,1249,2026-01-28 03:27,1346,-97,False,Normal,1,Normal,Normal,Normal
P1020,V020,1385,2026-01-27 12:27,1479,-94,False,Normal,1,Normal,Normal,Normal
P1021,V021,823,2026-01-28 05:27,943,-120,False,Normal,1,Normal,Normal,Normal
P1022,V022,1029,2026-01-27 18:27,1099,-70,False,Normal,1,Normal,Deviated,High Risk
P1023,V023,1116,2026-01-28 02:27,1190,-74,False,Normal,1,Normal,Normal,Normal
